U+77FF	矿	kuàng
U+7801	码	mǎ
U+5395	厕	cè
U+5948	奈	nài
U+5954	奔	bēn,bèn
U+5947	奇	jī,qí
U+594B	奋	fèn
U+6001	态	tài
U+6B27	欧	ōu
U+6BB4	殴	ōu
U+5784	垄	lǒng
U+59BB	妻	qī
U+8F70	轰	hōng
U+9877	顷	qǐng
U+8F6C	转	zhuǎn,zhuàn
U+65A9	斩	zhǎn
U+8F6E	轮	lún
U+8F6F	软	ruǎn
U+5230	到	dào
U+975E	非	fēi
U+53D4	叔	shū
U+6B67	歧	qí
U+80AF	肯	kěn
U+9F7F	齿	chǐ
U+4E9B	些	xiē
U+5353	卓	zhuó
U+864E	虎	hǔ
U+864F	虏	lǔ
U+80BE	肾	shèn
U+8D24	贤	xián
U+5C1A	尚	shàng
U+65FA	旺	wàng
U+5177	具	jù
U+5473	味	wèi
U+679C	果	guǒ
U+6606	昆	kūn
U+56FD	国	guó
U+54CE	哎	āi
U+5495	咕	gū
U+660C	昌	chāng
U+5475	呵	hē
U+7545	畅	chàng
U+660E	明	míng
